,actual,forecast,lower_95,upper_95
1440,22.49,21.039653010697805,9.192417077427578,32.88688894396803
1441,21.66,18.751837023702908,1.9488761831710981,35.554797864234715
1442,21.37,17.773796692015324,-2.481009484747691,38.028602868778336
1443,21.29,17.29009594955854,-5.638768388165435,40.21896028728251
1444,22.54,18.46355792932428,-6.640045003536649,43.56716086218521
1445,23.7,21.143257192423235,-5.78038640653822,48.06690079138469
1446,33.85,25.95333405881374,-2.523109115597979,54.429777233225465
1447,37.97,34.61175850639798,4.7917290327552315,64.43178798004074
1448,45.48,38.89830371964397,7.902925173599499,69.89368226568844
1449,47.5,38.23554145915039,6.202801082366399,70.26828183593437
1450,43.23,37.707550537063206,4.752352789441616,70.6627482846848
1451,43.57,38.248486937455866,4.467668941041815,72.02930493386992
1452,50.52,37.02557733360331,2.5015481981466365,71.54960646905998
1453,52.36,36.782075817441424,1.585535400536287,71.97861623434656
1454,53.08,37.50085455962404,1.692873319535316,73.30883579971277
1455,56.54,40.518958287789005,4.152599934317571,76.88531664126043
1456,59.2,44.0509496204118,7.172558058265729,80.92934118255786
1457,61.34,51.21467408173279,13.86490840111069,88.56443976235488
1458,61.08,46.19671155971453,8.411388353511121,83.98203476591794
1459,59.47,40.345866742937,2.156652680023903,78.5350808058501
1460,56.7,34.36140095592299,-4.203612669488507,72.92641458133448
1461,52.44,31.531616311903647,-7.384200574615754,70.44743319842306
1462,51.86,27.737444953893903,-11.506869444745387,66.98175935253319
1463,52.26,23.956119214024586,-15.596734879837594,63.50897330788676
1464,50.87,50.581742366696,38.80299946133325,62.360485272058746
1465,48.19,47.51301029743476,30.80337156267129,64.22264903219823
1466,44.68,45.33164517699008,25.190589598869717,65.47270075511044
1467,42.92,43.72135861141383,20.923382505916887,66.51933471691076
1468,40.39,43.88438399557419,18.926043899185675,68.84272409196271
1469,40.2,45.56063487746053,18.794168700351754,72.32710105456931
1470,39.63,49.388807374289044,21.07920865288747,77.69840609569061
1471,40.09,56.83566232831768,27.190068590393555,86.48125606624181
1472,41.27,60.48429117766939,29.669015179155043,91.29956717618374
1473,44.88,59.167426947998486,27.318670693338913,91.01618320265806
1474,45.0,57.74857912619827,24.979592600639698,90.51756565175685
1475,47.2,57.70963689677796,24.115726461950622,91.3035473316053
1476,50.78,56.17272528610511,21.834886444055684,90.51056412815454
