valuetime,actual,forecast,lower_95,upper_95
2020-12-30 23:00:00,22.49,20.466864328431647,8.619926940201951,32.313801716661345
2020-12-31 00:00:00,21.66,18.70922987125762,1.8722917392044387,35.5461680033108
2020-12-31 01:00:00,21.37,17.757610424752684,-2.5483946551973844,38.06361550470275
2020-12-31 02:00:00,21.29,17.302671668550595,-5.688513559603223,40.29385689670441
2020-12-31 03:00:00,22.54,18.559460445835203,-6.61477964350733,43.73370053517773
2020-12-31 04:00:00,23.7,21.343129756727347,-5.6581602735289565,48.34441978698365
2020-12-31 05:00:00,33.85,25.79802212386292,-2.7625818142016243,54.35862606192747
2020-12-31 06:00:00,37.97,34.375437691283935,4.464749313423933,64.28612606914393
2020-12-31 07:00:00,45.48,38.6586469459493,7.565834696771585,69.75145919512701
2020-12-31 08:00:00,47.5,37.9430280910807,5.8056227823771,70.0804333997843
2020-12-31 09:00:00,43.23,37.435365640858556,4.367708208090363,70.50302307362675
2020-12-31 10:00:00,43.57,38.06473689754993,4.16304217561715,71.9664316194827
2020-12-31 11:00:00,50.52,36.665084602356416,2.0111134092551097,71.31905579545773
2020-12-31 12:00:00,52.36,36.49479066843957,1.1585909194063149,71.83099041747283
2020-12-31 13:00:00,53.08,37.23359026628282,1.2755920110387606,73.19158852152688
2020-12-31 14:00:00,56.54,40.315634574207536,3.788282784222872,76.8429863641922
2020-12-31 15:00:00,59.2,44.013192114352094,6.962240158936666,81.06414406976752
2020-12-31 16:00:00,61.34,51.33407227441866,13.799620852652204,88.86852369618512
2020-12-31 17:00:00,61.08,46.31452139753527,8.331862931011393,84.29717986405916
2020-12-31 18:00:00,59.47,40.321207209341594,1.921519154037675,78.72089526464552
2020-12-31 19:00:00,56.7,34.14397293951105,-4.645107873018375,72.93305375204048
2020-12-31 20:00:00,52.44,31.43061236739868,-7.723285478075134,70.58451021287249
2020-12-31 21:00:00,51.86,28.4335574852957,-11.063239639988367,67.93035461057977
2020-12-31 22:00:00,52.26,24.610208893020722,-15.209886691157916,64.43030447719936
2020-12-31 23:00:00,50.87,50.55884274723661,38.77797013906034,62.33971535541288
2021-01-01 00:00:00,48.19,47.4894290216807,30.744074491615645,64.23478355174575
2021-01-01 01:00:00,44.68,45.31912350952205,25.125079170979006,65.5131678480651
2021-01-01 02:00:00,42.92,43.73105407820951,20.86866266363806,66.59344549278096
2021-01-01 03:00:00,40.39,43.932089030961116,18.90060744661811,68.96357061530412
2021-01-01 04:00:00,40.2,45.710999611213914,18.86393782445155,72.55806139797627
2021-01-01 05:00:00,39.63,49.35298307932487,20.955835274336103,77.75013088431365
2021-01-01 06:00:00,40.09,57.01759005474636,27.277541300201907,86.75763880929081
2021-01-01 07:00:00,41.27,60.575696367343426,29.65883086275028,91.49256187193657
2021-01-01 08:00:00,44.88,59.18402486255987,27.226147195080458,91.14190253003929
2021-01-01 09:00:00,45.0,57.94665618392788,25.06051864403149,90.83279372382427
2021-01-01 10:00:00,47.2,57.95238942795429,24.23274575587324,91.67203310003534
2021-01-01 11:00:00,50.78,56.116207835788344,21.64347652773067,90.58893914384602
2021-01-01 12:00:00,45.49,55.447535405289315,20.29053271467913,90.6045380958995
2021-01-01 13:00:00,44.73,55.693705239146276,19.911732510819007,91.47567796747354
2021-01-01 14:00:00,46.59,58.32583494113014,21.970304010453063,94.68136587180722
2021-01-01 15:00:00,52.99,61.58372652734291,24.699446102594536,98.46800695209129
2021-01-01 16:00:00,60.26,68.42812503469106,31.054332840873634,105.8019172285085
2021-01-01 17:00:00,60.61,63.12397315299713,25.295173863346577,100.95277244264769
2021-01-01 18:00:00,60.36,56.86666450335821,18.61331693780695,95.12001206890946
2021-01-01 19:00:00,57.4,50.43410679545674,11.783192512160312,89.08502107875317
2021-01-01 20:00:00,53.86,47.40708461229408,8.382582048105334,86.43158717648282
2021-01-01 21:00:00,53.45,44.18258162990246,4.805864235333431,83.55929902447149
2021-01-01 22:00:00,49.72,40.18115933825848,0.47133198725413905,79.89098668926283
2021-01-01 23:00:00,46.69,48.09056940718017,36.37952173989261,59.80161707446773
2021-01-02 00:00:00,42.43,45.350514047404445,28.691089498383658,62.00993859642523
