order,seasonal_order,aic,bic
"(1, 2, 0)","(0, 1, 1, 24)",9755.523849902318,9771.286383441688
"(1, 2, 0)","(1, 0, 0, 24)",10064.67159214418,10080.484617759023
"(1, 2, 0)","(1, 0, 1, 24)",9887.651325424533,9908.735359577657
"(1, 2, 0)","(1, 1, 0, 24)",10273.355200707672,10289.117734247042
"(1, 2, 0)","(1, 1, 1, 24)",9757.493590777907,9778.510302163733
"(1, 2, 1)","(0, 0, 0, 24)",9666.576976515627,9682.39000213047
"(1, 2, 1)","(0, 0, 1, 24)",9602.482752128772,9623.566786281895
"(1, 2, 1)","(0, 1, 0, 24)",10055.349483288905,10071.112016828274
"(1, 2, 1)","(0, 1, 1, 24)",9224.076355398684,9245.09306678451
"(1, 2, 1)","(1, 0, 0, 24)",9578.274646193277,9599.3586803464
"(1, 2, 1)","(1, 1, 0, 24)",9711.475688756469,9732.492400142295
"(1, 2, 1)","(1, 1, 1, 24)",9224.504798112757,9250.77568734504
"(1, 2, 2)","(0, 0, 0, 24)",9718.250381690015,9739.33441584314
"(1, 2, 2)","(0, 0, 1, 24)",9627.705318965789,9654.060361657193
"(1, 2, 2)","(0, 1, 0, 24)",10030.124942853712,10051.141654239538
"(1, 2, 2)","(0, 1, 1, 24)",9227.451976097673,9253.722865329955
"(1, 2, 2)","(1, 0, 0, 24)",9589.85909996673,9616.214142658135
"(1, 2, 2)","(1, 0, 1, 24)",9353.826257768378,9385.452308998065
"(1, 2, 2)","(1, 1, 0, 24)",9698.040705803016,9724.311595035299
"(1, 2, 2)","(1, 1, 1, 24)",9227.686053538375,9259.211120617114
"(2, 0, 0)","(0, 0, 0, 24)",9655.479946465512,9671.297141643221
"(2, 0, 0)","(0, 0, 1, 24)",9589.303412242829,9610.39300581311
"(2, 0, 0)","(0, 1, 0, 24)",10008.472748459819,10024.23952228258
"(2, 0, 0)","(0, 1, 1, 24)",9194.194121374052,9215.216486471067
"(2, 0, 0)","(1, 0, 0, 24)",9563.103985531749,9584.19357910203
"(2, 0, 0)","(1, 0, 1, 24)",9328.014711016524,9354.376702979374
"(2, 0, 0)","(1, 1, 0, 24)",9669.718551836002,9690.740916933017
"(2, 0, 0)","(1, 1, 1, 24)",9193.828170907374,9220.106127278643
"(2, 0, 1)","(0, 0, 0, 24)",9654.004308442074,9675.093902012355
"(2, 0, 1)","(0, 0, 1, 24)",9588.580411950785,9614.942403913636
"(2, 0, 1)","(0, 1, 0, 24)",9992.370883944464,10013.393249041479
"(2, 0, 1)","(0, 1, 1, 24)",9195.328516516995,9221.606472888263
"(2, 0, 1)","(1, 0, 0, 24)",9562.903513514102,9589.265505476953
"(2, 0, 1)","(1, 0, 1, 24)",9328.925345192694,9360.559735548115
"(2, 0, 1)","(1, 1, 0, 24)",9665.034804037412,9691.31276040868
"(2, 0, 1)","(1, 1, 1, 24)",9195.030904115649,9226.56445176117
"(2, 0, 2)","(0, 0, 0, 24)",9653.383004387557,9679.744996350408
"(2, 0, 2)","(0, 0, 1, 24)",9588.979095174278,9620.613485529699
"(2, 0, 2)","(0, 1, 0, 24)",9984.153001086162,10010.43095745743
"(2, 0, 2)","(0, 1, 1, 24)",9198.42902058552,9229.962568231042
"(2, 0, 2)","(1, 0, 0, 24)",9563.713404880898,9595.34779523632
"(2, 0, 2)","(1, 0, 1, 24)",9329.997398056508,9366.904186804499
"(2, 0, 2)","(1, 1, 0, 24)",9673.857984517157,9705.39153216268
"(2, 0, 2)","(1, 1, 1, 24)",9197.967420633751,9234.756559553527
"(2, 1, 0)","(0, 0, 0, 24)",9662.634467581307,9678.44957870197
"(2, 1, 0)","(0, 0, 1, 24)",9599.736843816645,9620.823658644194
"(2, 1, 0)","(0, 1, 0, 24)",10053.520268160222,10069.284922590454
"(2, 1, 0)","(0, 1, 1, 24)",9216.43840155469,9237.457940794999
"(2, 1, 0)","(1, 0, 0, 24)",9576.284288518505,9597.371103346055
"(2, 1, 0)","(1, 0, 1, 24)",9348.442322919334,9374.80084145377
"(2, 1, 0)","(1, 1, 0, 24)",9709.284215172962,9730.303754413271
"(2, 1, 0)","(1, 1, 1, 24)",9216.982431986098,9243.256856036485
"(2, 1, 1)","(0, 0, 0, 24)",9664.342254070816,9685.429068898366
"(2, 1, 1)","(0, 0, 1, 24)",9601.684857559205,9628.043376093641
"(2, 1, 1)","(0, 1, 0, 24)",10026.614444200566,10047.633983440875
"(2, 1, 1)","(0, 1, 1, 24)",9218.48779901872,9244.762223069107
"(2, 1, 1)","(1, 0, 0, 24)",9578.270842659203,9604.62936119364
"(2, 1, 1)","(1, 0, 1, 24)",9350.7185030552,9382.348725296524
"(2, 1, 1)","(1, 1, 0, 24)",9695.903678404284,9722.17810245467
"(2, 1, 1)","(1, 1, 1, 24)",9218.923980146206,9250.453289006671
"(2, 1, 2)","(0, 0, 0, 24)",9601.655317789899,9628.013836324335
"(2, 1, 2)","(0, 0, 1, 24)",9547.877650642733,9579.507872884058
"(2, 1, 2)","(0, 1, 0, 24)",9980.162881271437,10006.437305321824
"(2, 1, 2)","(0, 1, 1, 24)",9200.114219884039,9231.643528744504
"(2, 1, 2)","(1, 0, 0, 24)",9528.27345232085,9559.903674562174
"(2, 1, 2)","(1, 0, 1, 24)",9322.78476241401,9359.686688362222
"(2, 1, 2)","(1, 1, 0, 24)",9656.951233768821,9688.480542629286
"(2, 1, 2)","(1, 1, 1, 24)",9201.720121894428,9238.50431556497
"(2, 2, 0)","(0, 0, 0, 24)",10018.427721866246,10034.24074748109
"(2, 2, 0)","(0, 0, 1, 24)",9965.251253556191,9986.335287709315
"(2, 2, 0)","(0, 1, 0, 24)",10462.522719044213,10478.285252583582
"(2, 2, 0)","(0, 1, 1, 24)",9606.131204237447,9627.147915623273
"(2, 2, 0)","(1, 0, 0, 24)",9947.52845204456,9968.612486197684
"(2, 2, 0)","(1, 0, 1, 24)",9741.172064612863,9767.527107304268
"(2, 2, 0)","(1, 1, 0, 24)",10107.641895422028,10128.658606807854
"(2, 2, 0)","(1, 1, 1, 24)",9607.598817908813,9633.869707141095
"(2, 2, 1)","(0, 0, 0, 24)",9665.685029668863,9686.769063821986
"(2, 2, 1)","(0, 0, 1, 24)",9602.6317236022,9628.986766293605
"(2, 2, 1)","(0, 1, 0, 24)",10056.75105432898,10077.767765714807
"(2, 2, 1)","(0, 1, 1, 24)",9225.878489676204,9252.149378908487
"(2, 2, 1)","(1, 0, 0, 24)",9579.03869497431,9605.393737665714
"(2, 2, 1)","(1, 0, 1, 24)",9357.986810002289,9389.612861231975
"(2, 2, 1)","(1, 1, 0, 24)",9713.42464894768,9739.695538179963
"(2, 2, 1)","(1, 1, 1, 24)",9226.370859688977,9257.895926767716
"(2, 2, 2)","(0, 0, 0, 24)",9665.496737347396,9691.8517800388
"(2, 2, 2)","(0, 0, 1, 24)",9604.090299135552,9635.71635036524
"(2, 2, 2)","(0, 1, 0, 24)",10029.828285795451,10056.099175027734
"(2, 2, 2)","(0, 1, 1, 24)",9227.653373510173,9259.178440588912
"(2, 2, 2)","(1, 0, 0, 24)",9581.977916013378,9613.603967243065
"(2, 2, 2)","(1, 0, 1, 24)",9360.055872717629,9396.952932485596
"(2, 2, 2)","(1, 1, 0, 24)",9700.041484365309,9731.566551444048
"(2, 2, 2)","(1, 1, 1, 24)",9228.285585749829,9265.064830675024
