,actual,forecast,lower_95,upper_95
1440,22.49,21.15130835553924,4.510660437235469,37.79195627384301
1441,21.66,20.77851063715999,-16.431108924932843,57.98813019925282
1442,21.37,20.98501085012534,-41.277973290866726,83.24799499111741
1443,21.29,21.706962750248785,-69.43550652675938,112.84943202725697
1444,22.54,24.18505456675018,-99.22092441107209,147.59103354457244
1445,23.7,28.2181557041408,-130.5162304352418,186.9525418435234
1446,33.85,33.70686827332659,-163.1771765775406,230.59091312419378
1447,37.97,43.479220530005804,-194.18202850538466,281.14046956539624
1448,45.48,49.01122875240721,-231.89605167287758,329.918509177692
1449,47.5,49.52644458579137,-276.962587618437,376.0154767900197
1450,43.23,50.29297132712001,-323.99983047174726,424.5857731259873
1451,43.57,52.24711274912096,-371.97288737642634,476.46711287466826
1452,50.52,52.041502116650086,-424.14257737161404,528.2255816049142
1453,52.36,53.19749527248386,-476.91077381729036,583.3057643622581
1454,53.08,55.24100566983917,-530.682858862529,641.1648702022073
1455,56.54,59.660289070779854,-583.9086195131127,703.2291976546725
1456,59.2,64.74236084022644,-638.2447944361143,767.7295161165671
1457,61.34,73.458081790302,-690.6691618777504,837.5853254583544
1458,61.08,69.76533886390459,-757.1766908556606,896.7073685834698
1459,59.47,65.04444011853559,-826.3435992956532,956.4324795327244
1460,56.7,60.10886962896702,-897.3161466108527,1017.5338858687867
1461,52.44,58.79195981309914,-966.2235832760625,1083.8075029022607
1462,51.86,57.52774128563452,-1036.5969822685563,1151.6524648398251
1463,52.26,55.023687857780644,-1109.6962232798821,1219.7435989954436
1464,50.87,55.65027786078512,39.10397117156445,72.19658455000578
1465,48.19,57.91697568557539,20.918309506505544,94.91564186464524
1466,44.68,61.007562227039664,-0.9024529959953753,122.9175774500747
1467,42.92,64.61110060755274,-26.014721149130196,155.23692236423568
1468,40.39,69.94174235656098,-52.76475012800536,192.6482348411273
1469,40.2,76.81229238300628,-81.0224136155503,234.64699838156287
1470,39.63,85.37519256505215,-110.39300243810314,281.14338756820746
1471,40.09,98.06355388240405,-138.25079569386395,334.37790345867205
1472,41.27,106.47545125630921,-172.83989845901897,385.7908009716374
1473,44.88,109.89757032653498,-214.74127167173796,434.5364123248079
1474,45.0,113.53099514517349,-258.6407723280821,485.7027626184291
1475,47.2,118.31447853223702,-303.5016166366412,540.1305737011152
1476,50.78,121.08575896751688,-352.4000083987267,594.5715263337604
1477,45.49,125.08804402532328,-402.01640389289537,652.1924919435419
1478,44.73,130.00481583914703,-452.5990055868633,712.6086372651573
1479,46.59,137.27217682664676,-502.6501046418326,777.1944582951261
1480,52.99,145.15995674851806,-553.8439438131537,844.1638573101899
1481,60.26,156.67338921850055,-603.1242193776146,916.4709978146158
1482,60.61,155.85874934859174,-666.397779144808,978.1152778419917
1483,60.36,154.07448904136433,-732.2629433802383,1040.411921462967
1484,57.4,152.1100278167767,-799.8902640213312,1104.1103196548845
1485,53.86,153.60924259291713,-865.5986589368684,1172.8171441227028
1486,53.45,154.83255651125842,-933.0930062000884,1242.7581192226053
1487,49.72,155.23444483336147,-1002.8863689362381,1313.3552586029612
1488,46.69,48.97622774100418,32.53882654928897,65.41362893271939
1489,42.43,47.08913511870061,10.33398901705472,83.8442812203465
1490,41.09,46.016614197968906,-15.485936894053388,107.51916528999121
1491,40.0,45.45607082147392,-44.57332920504252,135.48547084799037
1492,37.55,46.60908276393166,-75.28990670461619,168.5080722324795
1493,39.0,49.279284917801,-107.51679831567571,206.0753681512777
1494,42.09,53.747711040782406,-140.7322950123588,248.22771709392362
1495,44.96,62.17628797043372,-172.5831258519758,296.93570179284325
1496,48.45,66.46115074350017,-211.0163730712593,343.93867455825966
